Name,Abbreviation,Region
Alabama,AL,South
Alaska,AK,West
American Samoa,AS,Pacific
Arizona,AZ,West
Arkansas,AR,South
California,CA,West
Colorado,CO,West
Connecticut,CT,Northeast
Delaware,DE,Northeast
District of Columbia,District of Columbia,Northeast
Florida,FL,South
Georgia,GA,South
Guam,GU,Pacific
Hawaii,HI,Pacific
Idaho,ID,West
Illinois,IL,Midwest
Indiana,IN,Midwest
Iowa,IA,Midwest
Kansas,KS,Midwest
Kentucky,KY,South
Louisiana,LA,South
Maine,ME,Northeast
Marshall Islands,MH,Pacific
Maryland,MD,Northeast
Massachusetts,MA,Northeast
Michigan,MI,Midwest
Micronesia,FM,Pacific
Minnesota,MN,Midwest
Mississippi,MS,South
Missouri,MO,Midwest
Montana,MT,West
Nebraska,NE,Midwest
Nevada,NV,West
New Hampshire,NH,Northeast
New Jersey,NJ,Northeast
New Mexico,NM,West
New York,NY,Northeast
North Carolina,NC,South
North Dakota,ND,Midwest
Northern Marianas,MP,Pacific
Ohio,OH,Midwest
Oklahoma,OK,South
Oregon,OR,West
Palau,PW,Pacific
Pennsylvania,PA,Northeast
Puerto Rico,PR,Territory
Rhode Island,RI,Northeast
South Carolina,SC,South
South Dakota,SD,Midwest
Tennessee,TN,South
Texas,TX,South
Utah,UT,West
Vermont,VT,Northeast
Virgin Islands,VI,Territory
Virginia,VA,South
Washington,WA,West
West Virginia,WV,South
Wisconsin,WI,Midwest
Wyoming,WY,West
